title,author,brand,genre,id,remixers,released,15-10-2017,polarity,subjectivity,16-10-2017,17-10-2017,22-10-2017
Blooming Era,Enrico Sangiuliano,Drumcode,Techno,9460136,NA,2017-07-17,56,0.0,0.0,78,78,52
Cola,"CamelPhat, Elderbrook",Defected,House,9678296,Franky Rizardo,2017-09-01,45,0.0,0.0,49,49,53
Kayser Soze,DAVI,Kindisch,Deep House,9726662,NA,2017-09-22,59,0.0,0.0,54,54,54
Perth,KiNK,Running Back,House,9679850,NA,2017-09-15,66,0.0,0.0,98,98,55
Ya Kidding,FISHER (OZ),DIRTYBIRD,Tech House,9419011,NA,2017-06-30,76,0.0,0.0,58,58,56
First Bastion,Hidden Empire,Suara,Techno,9805762,NA,2017-10-09,NA,0.25,0.3333333333333333,84,84,57
HUMBLE.,Kendrick Lamar,Polydor Associated Labels,Trap / Future Bass,9797678,Skrillex,2017-09-29,42,-0.2,0.4,47,47,58
Tempus,Sagan,HEXAGON,Future House,9762396,NA,2017-10-13,NA,0.0,0.0,NA,NA,59
Coco's Miracle,"Fedde Le Grand, CoCo Star, Dannic",SPINNIN' RECORDS,Big Room,9631894,NA,2017-08-25,82,0.0,0.0,66,66,60
Body Funk,Purple Disco Machine,Club Sweat,Indie Dance / Nu Disco,9323977,NA,2017-05-25,81,0.0,0.0,70,70,61
Phenomenon,Mihalis Safras,Repopulate Mars,Tech House,9677755,NA,2017-09-15,32,0.0,0.0,45,45,62
LF10,Dusky,17 Steps,House,9738034,NA,2017-10-16,NA,0.0,0.0,NA,NA,63
Kunu,Trikk,Innervisions,Deep House,9782142,NA,2017-10-13,NA,0.0,0.0,NA,NA,64
Men On Mars,HI-LO,Heldeep Records,Future House,9745211,NA,2017-10-09,51,0.0,0.0,33,33,65
1 Two 3,"Alexic Rod, Colombo",Low Groove Records,Tech House,9763631,NA,2017-10-06,75,0.0,0.0,57,57,66
Preset Heaven,"Adam Beyer, Enrico Sangiuliano",Drumcode,Techno,9635030,NA,2017-08-28,39,0.0,0.0,50,50,67
Concorde,"Aly & Fila, Ferry Tayle",FSOE Fables,Trance,9804671,NA,2017-10-06,58,0.0,0.0,46,46,68
Party,PAWSA,PAWZ,House,9644245,NA,2017-09-15,44,0.0,0.0,43,43,69
Sound Of Music feat. Katy B,"Jamie Jones, Nookie, Katy B",Hot Creations,House,9676571,NA,2017-09-22,43,0.4,0.4,48,48,70
Good Life 2017,Inner City,KMS Records,House,9670264,NA,2017-08-24,NA,0.7,0.6000000000000001,NA,NA,71
Inside Out,"Victor Ruiz, Drunken Kong",Tronic,Techno,9732446,Reinier Zonneveld,2017-09-25,63,0.0,0.0,67,67,72
Drained feat. Sooma,"David Mayer, Sooma",Connected Frontline,Deep House,9663492,NA,2017-09-15,73,0.0,0.0,69,69,73
Big Jet Plane,"Alok, Mathieu Koss",SPINNIN' RECORDS,Dance,9717124,NA,2017-09-29,70,0.0,0.1,82,82,74
Body Trip,Tiger Stripes,Truesoul,Techno,9647594,NA,2017-09-04,38,0.0,0.0,52,52,75
Midnight Love,Andy Bros,Diynamic,Techno,9780462,NA,2017-10-06,57,0.5,0.6,53,53,76
The Wickedest Sound,Riva Starr,Brock Wild,Tech House,9437254,NA,2017-06-30,80,0.4,0.4,59,59,77
Taking Over Me feat. Zahra,"Zahra, Cera Alba",Hottrax,Tech House,9389062,Tiger Stripes,2017-06-16,77,0.0,0.0,88,88,78
LOCO feat. Reverie,"NERVO, Reverie, Danny Avila",SPINNIN' RECORDS,Future House,9782259,NA,2017-10-13,NA,0.0,0.0,NA,NA,79
Make Your Mind Up feat. Moses York,"Pauls Paris, Moses York",Axtone Records,Big Room,9745282,"Axwell, NEW_ID",2017-10-06,35,0.0,0.0,40,40,80
Chakra,"W&W, Vini Vici",Mainstage Music,Psy-Trance,9746512,NA,2017-09-18,62,0.0,0.0,63,63,81
Trip Report,Billy Kenny,Relief,Tech House,9755108,NA,2017-09-29,64,0.0,0.0,74,74,82
Do The Maff,Sasha,Circus Recordings,Progressive House,9703676,NA,2017-09-29,65,0.0,0.0,75,75,83
Back To Basics,Denney,Relief,Tech House,9718882,NA,2017-09-15,50,0.0,0.0,68,68,84
Fogo feat. Julimar Santos,"Garmiani, Julimar Santos",SPINNIN' RECORDS,Electro House,9610974,NA,2017-08-18,93,0.0,0.0,87,87,85
Hardcore Harry,S.P.Y,Hospital Records,Drum & Bass,9708638,NA,2017-10-13,NA,0.0,0.0,NA,NA,86
Renegate Masta,"Wasabi, Sugar Hill",Erase Records,Tech House,9361070,NA,2017-06-04,52,0.0,0.0,64,64,87
Got Me With A Bang,Anja Schneider,Sous Music,Techno,9829135,NA,2017-10-13,NA,0.0,0.0,NA,NA,88
Shenlong,"Alex M.O.R.P.H., Heatbeat",AERYS RECORDS,Trance,9783104,NA,2017-09-29,68,0.0,0.0,79,79,89
Khaya,Jonathan Kaspar,Objektivity,Deep House,9569091,NA,2017-07-21,79,0.0,0.0,96,96,90
Love Sensation,Loleatta Holloway,Salsoul Records,Funk / Soul / Disco,9560805,Dr Packer,2017-07-28,NA,0.5,0.6,NA,NA,91
Two Three One,Danny Howard,Glasgow Underground,Tech House,9804935,PAX,2017-10-13,NA,0.0,0.0,NA,NA,92
JayDee,Detlef,Relief,Tech House,9519586,NA,2017-07-14,69,0.0,0.0,93,93,93
Boomerang,"Brooks, GRX",STMPD RCRDS,Big Room,9819454,NA,2017-10-13,NA,0.0,0.0,NA,NA,94
Cortex 11-b,Maetrik,Clash Lion,Techno,9702214,NA,2017-09-29,37,0.0,0.0,41,41,95
Nothing Better,"Chris Lake, Chris Lorenzo",Insomniac Records,House,9743376,NA,2017-09-22,49,0.5,0.5,71,71,96
Come With Me,Drumsound & Bassline Smith,Technique Recordings,Drum & Bass,9797364,NA,2017-10-10,NA,0.0,0.0,89,89,97
Home,"M.A.N.D.Y., Booka Shade, M.A.N.D.Y. vs. Booka Shade",Get Physical Music,Deep House,9754690,Kollektiv Turmstrasse,2017-10-13,NA,0.0,0.0,NA,NA,98
Juniper,Matador,Rukus,Techno,9734095,NA,2017-10-06,NA,0.0,0.0,85,85,99
Can't Get No Love,"Croatia Squad, Me & My Toothbrush",Enormous Tunes,Funky / Groove / Jackin' House,9782785,NA,2017-10-13,NA,-0.25,0.6,NA,NA,100
